1,Tortilla Chips & Dips,"Tortilla Chips with a selection of dips, salsa, sour cream and guacamole",FALSE,FALSE,TRUE,60,3.29,TRUE,1
2,Mexico City nachos,"Nachos with Trealy Farm chorizo, cheese sauce, tomatillo &  avocado slsas",FALSE,TRUE,FALSE,120,5.95,TRUE,1
3,Veggie nachos,"Nachos with cheese sauce, tomatillo & avacado salsas",FALSE,TRUE,TRUE,80,5.25,TRUE,1
4,Roast tomato salsa with tortilla chips,"Roast tomato salsa with tortilla chips , a fresh lime and a touch of chilli",TRUE,TRUE,TRUE,100,3.95,TRUE,1
5,Hot Habanero Chicken Strips,served with small nachos and sour cream dip,FALSE,FALSE,FALSE,250,7.45,TRUE,1
6,Grilled tenderstem broccoli,Tossed in lime juice & ajillo dressing served with marinated red cabbage,TRUE,TRUE,TRUE,300,3.95,TRUE,2
7,Sweet potato,Crispy fried chunks tossed in smokey caramelised garlic mojo de ajo,FALSE,TRUE,FALSE,280,3.95,TRUE,2
8,Frijoles,Creamy black beans served with crumbled cheese & crema,FALSE,TRUE,TRUE,250,3.25,TRUE,2
9,Green Salad,"with avocado, corn & beans, topped with pumpkin seeds",TRUE,FALSE,TRUE,350,4.25,TRUE,2
10,Onion Rings,Served with a sour cream sauce,FALSE,FALSE,TRUE,430,3.25,TRUE,2
11,Pork pibil Tacos,"slow cooked in citrus & spices, with pink pickled onions",FALSE,TRUE,FALSE,550,4.99,TRUE,3
12,Steak & cheese,"Chargrilled steak served with grilled cheese, chipotle salsa & avocado",FALSE,TRUE,FALSE,650,10.99,TRUE,3
13,Black bean & three cheese,Served with smoky beans & avocado leaf,FALSE,FALSE,TRUE,450,6.99,TRUE,3
14,Grilled chicken club,"Served with avocado, lettuce, melted cheese & chipotle mayo",FALSE,FALSE,FALSE,520,6.49,TRUE,3
15,Roasted butternut squash Tacos,"With a creamy cashew nut and herb mole, citrusy tomatillo salsa and pumpkin seeds",TRUE,TRUE,TRUE,420,5.59,TRUE,3
16,Churros,Crips mexican doughnuts with rich chocolate sauce,FALSE,FALSE,TRUE,600,5.25,TRUE,4
17,Ice cream & sorbets,Served with a crisp cinnamon dusted bunuelo pastry and a salted caramel and vanilla sauce,FALSE,TRUE,TRUE,580,5.75,TRUE,4
18,Caramel Flan,Creamy flan tyoped with cajeta caramel,FALSE,TRUE,TRUE,330,5.25,TRUE,4
19,Chocolate & pecan brownie,With salted caramel ice cream & dulce de leche sauce,FALSE,FALSE,TRUE,430,5.95,TRUE,4
20,Fruit salad,"apple,watermelon, grapes and banana",TRUE,TRUE,TRUE,200,6,TRUE,4
